GHS Number,GHS Title
GHS 71,I Want To See Jesus/ Don’T You?
GHS 72,The Solid Rock
GHS 73,Jesus Only Is Our Message
GHS 74,The Heart That Was Broken For Me
GHS 75,The Church’S One Foundation
GHS 76,In Times Like These
GHS 77,I Have Decided To Follow Jesus
GHS 78,Faith Of Our Fathers
GHS 79,The Way Of The Cross Leads Home
GHS 80,At The Cross
GHS 81,Lead Me To Calvary
GHS 82,When I Survey The Wondrous Cross
GHS 83,Thy Word Have I Hid In My Heart
GHS 84,Deeper/ Deeper In The Love Of Jesus
GHS 85,Give Of Your Best To The Master
GHS 86,Nothing Between
GHS 87,Take My Life
GHS 88,Wherever He Leads I’ll Go
GHS 89,O Jesus/ I Have Promised
GHS 90,O Love That Wilt Not Let Me Go
GHS 91,Where He Leads Me
GHS 92,I Surrender All
GHS 93,More Love To Thee
GHS 94,Draw Me Nearer/ Blessed Lord
GHS 95,Come/ Saviour Jesus From Above
GHS 96,Peace! Be Still
GHS 97,Oft In Danger/ Oft In Woe
GHS 98,The Song Of The Soldier
GHS 99,There Is Victory Within My Soul
GHS 100,Christ/ Our Mighty Captain
GHS 101,My Father Knows
GHS 102,The Healer
GHS 103,He Healed Them All
GHS 104,Tell Somebody
GHS 105,I’ll Tell The World
GHS 106,Tell The Whole Wide World
GHS 107,Go And Tell Them
GHS 108,Must I Go And Empty-Handed?
GHS 109,To The Work
GHS 110,Till The Whole World Knows
GHS 111,Rescue The Perishing
GHS 112,Win Them One By One
GHS 113,Go And Tell The Story
GHS 114,Brighten The Corner Where You Are
GHS 115,Lift Him Up
GHS 116,Carry Your Bible
GHS 117,Show A Little Bit Of Love And Kindness
GHS 118,I Love To Tell The Story
GHS 119,Do Something For Others
GHS 120,Speak A Word
GHS 121,Somebody Else Needs Him/ Too
GHS 122,Somebody Needs Your Love
GHS 123,No One Like My Saviour
GHS 124,Christ Receiveth Sinful Men
GHS 125,Wonderful Grace Of Jesus
GHS 126,Great God Of Wonders
GHS 127,Rock Of Ages Cleft For Me
GHS 128,Victory In Jesus
GHS 129,Grace Greater Than Our Sin
GHS 130,Just As I Am/ Without One Plea
GHS 131,In Tenderness He Sought Me
GHS 132,Running Over
GHS 133,Out Of My Bondage
GHS 134,And Can It Be That I Should Gain
GHS 135,Tell Me The Old/ Old Story
GHS 136,At Calvary
GHS 137,How Beautiful Heaven Must Be
GHS 138,When We All Get To Heaven
GHS 139,Beautiful Home!
GHS 140,Laying My Treasure Up There
GHS 141,I Shall See The King
GHS 142,‘‘Holy/ Holy’’ Is What The Angels Sing
GHS 143,The End Of The Road
GHS 144,I Won’T Have To Cross Jordan Alone
GHS 145,When They Ring The Golden Bells
GHS 146,Face To Face
GHS 147,Sweet By And By
GHS 148,No Tears In Heaven
GHS 149,Farther
GHS 150,Pentecostal Power
GHS 151,There Shall Be Showers Of Blessing
GHS 152,Joys Are Flowing Like A River
GHS 153,With Signs Following
GHS 154,Give Me A Double Portion
GHS 155,Let Jesus Come Into Your Heart
GHS 156,Room At The Cross For You
GHS 157,Wandering Child/ O Come Home
GHS 158,Come Believing
GHS 159,Why Do You Wait?
GHS 160,The Shepherd Of Love
GHS 161,Who’Ll Be The Next?
GHS 162,Almost Persuaded
GHS 163,My God/ Is Any Hour So Sweet?
GHS 164,Prayer Is The Soul’S Sincere Desire
GHS 165,Guide Me/ O Thou Great Jehovah
GHS 166,Did You Think To Pray?
GHS 167,I Must Tell Jesus
GHS 168,I Need Thee Every Hour
GHS 169,What A Friend We Have In Jesus
GHS 170,Sweet Hour Of Prayer
GHS 171,Pass Me Not
GHS 172,When The Roll Is Called Up Yonder
GHS 173,Is It The Crowning Day?
GHS 174,Jesus Is Coming Again
GHS 175,He Is Coming Again
GHS 176,Christ Returneth
GHS 177,Search Me/ O God
GHS 178,Fill My Cup/ Lord
GHS 179,Higher Ground
GHS 180,Since The Son Hath Made Me Free
GHS 181,All Things Are Possible
GHS 182,Blessed Are The Pure In Heart
GHS 183,Come/ O My God/ The Promise Seal
GHS 184,Saviour From Sin/ I Wait To Prove
GHS 185,The Thing My God Doth Hate
GHS 186,God Of All Power/ And Truth/ & Grace
GHS 187,Jesus/ All-Atoning Lamb
GHS 188,O Lord/ How Happy Should We Be
GHS 189,Take Time To Be Holy
GHS 190,“Called Unto Holiness”
GHS 191,Come/ Holy Ghost/ All-Quickening Fire!
GHS 192,O For A Heart To Praise My God
GHS 193,Another Year
GHS 194,O Day Of Rest And Gladness
GHS 195,Another Year Is Dawning
GHS 196,Does Jesus Care?
GHS 197,Love Found A Way
GHS 198,His Love Can Never Fail
GHS 199,Resting In His Love
GHS 200,The Ninety And Nine
GHS 201,Love Lifted Me
GHS 202,Wonderful Story Of Love
GHS 203,There Is No Love Like The Love Of Jesus
GHS 204,Ye Must Be Born Again
GHS 205,Have You Counted The Cost?
GHS 206,Where Will You Spend Eternity?
GHS 207,There’S A Great Day Coming
GHS 208,The Great Judgment Morning
GHS 209,I Will Not Forget Thee
GHS 210,Open My Eyes That I May See
GHS 211,Crown Him With Many Crowns
GHS 212,Jesus Shall Reign Where’Er The Sun
GHS 213,Rejoice/ The Lord Is King!
GHS 214,All Hail The Power Of Jesus’ Name!
GHS 215,O Happy Day/ That Fixed My Choice
GHS 216,More About Jesus Would I Know
GHS 217,O Perfect Love/ All Human Thought Transcending
GHS 218,Love Divine/ All Loves Excelling
GHS 219,More Holiness Give Me/ More Striving Within
GHS 220,When I Saw The Cleansing Fountain
GHS 221,Let Not Thy Hands Be Slack
GHS 222,Speed Thy Servants/ Saviour/ Speed Them
GHS 223,I Gave My Life For Thee
GHS 224,Oh/ The Bitter Shame And Sorrow
GHS 225,Burn/ Fire Of God!
GHS 226,Thy Blessed Will Divine
GHS 227,Nearer/ My God To Thee
GHS 228,O Why Not Tonight?
GHS 229,Hold The Fort
GHS 230,Bring Your Vessels Not A Few
GHS 231,Send The Light
GHS 232,Blest Be The Tie That Binds
GHS 233,Stand Up/ Stand Up For Jesus
GHS 234,O Lord/ “With One Accord”
GHS 235,The Holy Spirit’S Power
GHS 236,Lord God/ The Holy Ghost
GHS 237,Peace! Perfect Peace!
GHS 238,Thou Hidden Source Of Calm Repose
GHS 239,One There Is Above All Others
GHS 240,Jesus Is The Same Forever
GHS 241,I’Ve Found The “Pearl Of Greatestprice”
GHS 242,A Good High Priest Is Come
GHS 243,Standing On The Promises
GHS 244,All Things In Jesus
GHS 245,Is Your Life A Channel Of Blessing?
GHS 246,O Brother/ Life’S Journey Beginning
GHS 247,’Tis Finished/ The Messiah Dies
GHS 248,The Mercy Seat
GHS 249,Come Sing The Praise Of Jesus
GHS 250,For My Sake And The Gospel’S Go
GHS 251,Only Remembered
GHS 252,It Is Morning In My Heart
GHS 253,My Portion Forever
GHS 254,Lower and Lower
GHS 255,Let The Fire Fall
GHS 256,Redeemed
GHS 257,Jesus Send More Laborers
GHS 258,Oh To Be Like Thee
GHS 259,More Like The Master
GHS 260,Gracious Spirit Dwell With Me
